Date,Forecast_Close
2024-09-10,539.6877504579005
2024-09-11,539.6862756705892
2024-09-12,539.6813708197421
2024-09-13,539.675847394231
2024-09-14,539.6724246150337
2024-09-15,539.6722183512701
2024-09-16,539.6722256010264
2024-09-17,539.6724769695553
2024-09-18,539.6727288458403
2024-09-19,539.6728529422173
2024-09-20,539.6728705083075
2024-09-21,539.6728704787068
2024-09-22,539.6728582465801
2024-09-23,539.6728475091613
2024-09-24,539.6728426666788
2024-09-25,539.6728416309516
2024-09-26,539.6728416686385
2024-09-27,539.6728422311919
2024-09-28,539.6728426792267
2024-09-29,539.6728428792765
2024-09-30,539.6728429315277
2024-10-01,539.6728429276873
2024-10-02,539.6728429028328
2024-10-03,539.6728428841388
2024-10-04,539.6728428755978
2024-10-05,539.672842873172
2024-10-06,539.6728428734252
2024-10-07,539.6728428744977
2024-10-08,539.6728428752842
2024-10-09,539.6728428756539
