Date,Forecast_Close
2024-12-31,1.0429041702091442
2025-01-01,1.0429022470412952
2025-01-02,1.0428943744190502
2025-01-03,1.042888635101319
2025-01-04,1.0428883145661527
2025-01-05,1.0428881493042546
2025-01-06,1.0428883361263563
2025-01-07,1.0428884916349814
2025-01-08,1.0428885293504357
2025-01-09,1.0428885431636084
2025-01-10,1.0428885411452566
2025-01-11,1.0428885375175454
2025-01-12,1.0428885359564406
2025-01-13,1.0428885352905604
2025-01-14,1.0428885352087254
2025-01-15,1.042888535266715
2025-01-16,1.0428885353126307
2025-01-17,1.042888535337358
2025-01-18,1.0428885353441062
2025-01-19,1.0428885353443413
2025-01-20,1.0428885353433954
2025-01-21,1.04288853534265
2025-01-22,1.0428885353423503
2025-01-23,1.0428885353422805
2025-01-24,1.0428885353422863
2025-01-25,1.0428885353423039
2025-01-26,1.042888535342314
2025-01-27,1.0428885353423178
2025-01-28,1.0428885353423185
2025-01-29,1.0428885353423183
