Date,Close,High,Low,Open,Volume
2020-01-02,300.29156494140625,300.3100698709436,298.1286038405854,299.062200102734,59151200
2020-01-03,298.0177001953125,299.15465327119983,296.8068120242286,296.8622703978099,77709700
2020-01-06,299.1547241210937,299.2379117011673,296.12284853401087,296.2430177748089,55653900
2020-01-07,298.3135070800781,299.06222335747646,297.8605594022021,298.58154649187225,40496400
2020-01-08,299.90338134765625,301.13274628882607,298.258050379491,298.50761307044644,68296000
2020-01-09,301.9369201660156,302.0108834726726,300.8924070771922,301.4840006955028,48473300
2020-01-10,301.0679931640625,302.68559471716,300.5965970362407,302.5284720774636,53029300
2020-01-13,303.1385498046875,303.14777406042305,301.26213308520016,301.6965757842309,47086800
2020-01-14,302.67633056640625,303.7577968081836,302.1124662879648,302.69480728371974,62832800
2020-01-15,303.3603515625,304.1275443973872,302.50071871879106,302.5839062641116,72056600
2020-01-16,305.8838195800781,305.8838195800781,304.5250332573094,304.7561191747277,54050300
2020-01-17,306.8359375,307.0485185216617,305.81915367226685,306.6048515486395,95846000
2020-01-21,306.235107421875,307.04853452646114,305.7914404257268,305.8653755221729,77742400
2020-01-22,306.2720642089844,307.7602723610364,306.1149415635169,307.1039679679579,48914900
2020-01-23,306.6232604980469,307.0392264020505,304.48802903611494,305.6157293578532,51963000
2020-01-24,303.896484375,307.3720258999948,302.59315630312693,307.2888383475858,87578400
2020-01-27,299.0252380371094,300.522670573542,298.2487925815049,298.5907952955376,84062500
2020-01-28,302.15875244140625,303.0461145736904,299.1176535001483,300.46718752343736,63834000
2020-01-29,301.9091186523437,303.7670584168849,301.705761920858,303.5359725042297,53888900
2020-01-30,302.8888854980469,303.10149466814704,299.0621178973276,299.82005816420065,75491800
2020-01-31,297.3890991210937,302.4175309428771,296.46475545104136,302.2603801071269,113845600
2020-02-03,299.5982360839844,301.4839048821524,298.7663325052632,298.8865016838381,69083000
2020-02-04,304.1645812988281,305.04271922906673,302.92596394004727,303.2494899253318,62573200
