Date,Close,High,Low,Open,Volume,SMA_14,EMA_14,Price_Change,Volatility,RSI_14,Bollinger_Mid,Bollinger_Std,Bollinger_High,Bollinger_Low,Price_Range
2020-01-28,1.101976990699768,1.102657437324524,1.099855899810791,1.101964831352234,0,1.109822383948735,1.1095180841433347,-0.0005068798012614062,0.004068452174133949,23.715978419337162,1.1125145852565765,0.00560335511378318,1.123721295484143,1.1013078750290102,0.00280153751373291
2020-01-29,1.1022562980651855,1.1030223369598389,1.099323868751526,1.102292776107788,0,1.1091748986925398,1.1085498459995815,0.0002534602516883755,0.0045090520138904395,29.210706181480177,1.1115232706069946,0.005575254577666493,1.1226737797623276,1.1003727614516616,0.0036984682083127662
2020-01-30,1.1016855239868164,1.1036553382873535,1.1008244752883911,1.101406455039978,0,1.108501638684954,1.107634603064546,-0.000517823376805393,0.0048856607622073155,28.735100477645332,1.1105034172534942,0.005404996720665911,1.121313410694826,1.0996934238121625,0.0028308629989624023
2020-01-31,1.1029127836227417,1.1090162992477417,1.1017948389053345,1.1028763055801392,0,1.1078763433865138,1.1070050271389722,0.001113983627091697,0.005008056925248399,30.83087525124712,1.1097918689250945,0.005421514055296253,1.120634897035687,1.098948840814502,0.0072214603424072266
2020-02-03,1.1089794635772705,1.108905553817749,1.104349970817566,1.108905553817749,0,1.107548211302076,1.1072682853307452,0.0055005980931706056,0.00474991715698449,41.49105297557012,1.1094310402870178,0.005208829419203945,1.1198486991254257,1.0990133814486098,0.0045555830001831055
2020-02-04,1.1062926054000854,1.1065618991851809,1.1033873558044434,1.1062926054000854,0,1.1070626888956343,1.1071381946733239,-0.002422820498873768,0.004479595121196156,38.35984452573818,1.1087556958198548,0.004638110420537722,1.1180319166609303,1.0994794749787793,0.0031745433807375267
2020-02-05,1.1047282218933103,1.1048502922058103,1.0998317003250122,1.104472041130066,0,1.1063003880637032,1.1068168649693222,-0.0014140775226544333,0.0038095462727555087,31.24494592929932,1.1082184135913848,0.004436941708517297,1.1170922970084194,1.0993445301743503,0.005018591880798118
2020-02-06,1.100231051445007,1.1012852191925049,1.0965512990951538,1.1000494956970217,0,1.1053199001720972,1.1059387564994134,-0.0040708387449320815,0.003435168790997446,28.21565459546771,1.1076639115810394,0.004713164520179889,1.1170902406213992,1.0982375825406796,0.004733920097351074
2020-02-07,1.0982975959777832,1.0986994504928589,1.0946906805038452,1.0981045961380005,0,1.1045226369585308,1.1049199350965295,-0.0017573176694881676,0.0036866128093293107,30.71650705385646,1.1070232331752776,0.005076775902903024,1.1171767849810836,1.0968696813694716,0.004008769989013672
2020-02-10,1.0949305295944214,1.0961307287216189,1.090959906578064,1.0948705673217771,0,1.1034681626728602,1.103588014362915,-0.0030657140611913825,0.004173098588311482,26.986746352087664,1.1061864137649535,0.005621218056238815,1.1174288498774312,1.0949439776524759,0.0051708221435549095
2020-02-11,1.0913456678390503,1.0927003622055054,1.089348316192627,1.091226577758789,0,1.1022384677614483,1.1019557014930665,-0.0032740540687078434,0.005009495052705691,25.069397450593158,1.1050750315189362,0.006246438181824435,1.117567907882585,1.0925821551552872,0.003352046012878418
2020-02-12,1.091941475868225,1.0924997329711914,1.0887079238891602,1.0921800136566162,0,1.100974006312234,1.1006204714097543,0.0005459388777842022,0.005225959832167827,23.99799686923268,1.1040176093578338,0.006598368370650023,1.1172143460991337,1.0908208726165338,0.00379180908203125
2020-02-13,1.0875948667526243,1.0890873670578003,1.0835527181625366,1.0876421928405762,0,1.0996934941836765,1.098883724122137,-0.003980624613736494,0.0061419075470023924,23.84061954230114,1.1026273310184478,0.006991390001953101,1.116610111022354,1.0886445510145415,0.005534648895263672
2020-02-14,1.0845986604690552,1.0862481594085691,1.0831302404403689,1.0845986604690552,0,1.0984122667993819,1.0969790489683928,-0.00275489189509992,0.007270556061764324,23.833654468179986,1.1011593699455262,0.007547270446545335,1.116253910838617,1.0860648290524355,0.0031179189682002395
2020-02-17,1.0841753482818604,1.0854003429412842,1.0830246210098269,1.0840578079223633,0,1.0971407209123885,1.0952718888768551,-0.00039029385027244956,0.008107640261860739,23.92827836653457,1.0998951733112334,0.008175280902835735,1.1162457351169048,1.083544611505562,0.0023757219314572975
2020-02-18,1.0840108394622805,1.0839003324508667,1.078690528869629,1.0837054252624512,0,1.0958374738693237,1.0937704156215786,-0.00015173635873622082,0.00866907019820711,23.188121448241702,1.098611056804657,0.008563082836367891,1.1157372224773927,1.0814848911319213,0.005209803581237793
