Date,Close,High,Low,Open,Volume,SMA_14,EMA_14,Price_Change,Volatility,RSI_14,Bollinger_Mid,Bollinger_Std,Bollinger_High,Bollinger_Low,Price_Range
2020-01-30,301.9962463378906,302.2082289307867,298.18075654491133,298.93646309772066,75491800,302.8170863560268,302.01377854084535,0.0032456054710765514,2.358267428458031,52.320943329498306,301.58791198730466,2.8389500651880644,307.2658121176808,295.9100118569285,4.027472385875342
2020-01-31,296.5125732421875,301.5261842429147,295.59095398654773,301.3694965941974,113845600,302.5550842285156,301.2802845010243,-0.0181580836258729,2.8302397028996173,42.68392745405019,301.44321899414064,3.023718554157511,307.49065610245566,295.3957818858256,5.935230256366992
2020-02-03,298.7152099609375,300.5953210000547,297.88575830784004,298.0055733036759,69083000,302.3029523577009,300.93827456234607,0.007428476622982627,3.0114125020197045,42.99813793788131,301.5220153808594,2.9245655383600373,307.37114645757947,295.6728843041393,2.7095626922146607
2020-02-04,303.2680053710937,304.14355484305065,302.03303904394454,302.3556113823279,62573200,302.408937726702,301.2489053368457,0.015241257419572163,3.0178550924166445,52.532209226384765,301.7717742919922,2.8446834508715195,307.4611411937352,296.08240739024916,2.1105157991061105
2020-02-05,306.7701721191406,306.98215467327867,304.7518518235987,306.226420133052,65951100,302.7163630894252,301.9850742411517,0.011548091740708033,3.2355094857346987,56.70009938601109,302.2385726928711,2.8613918725522995,307.9613564379757,296.5157889477665,2.2303028496799584
2020-02-06,307.8023986816406,307.99593084359486,306.71486662143343,307.7378785857936,50359700,302.9178030831473,302.7607174998836,0.003364820495322274,3.4669456039777113,54.60287037489005,302.67772521972654,3.0113763213036804,308.7004778623339,296.65497257711917,1.281064222161433
2020-02-07,306.16192626953125,307.81160447752046,305.608949094108,306.7333257047532,64139400,302.9342607770647,303.2142120025033,-0.005329628421142041,3.482862615696494,50.36775808824246,302.9334747314453,3.081962694518939,309.0974001204832,296.7695493424074,2.2026553834124343
2020-02-10,308.44744873046875,308.5119688123986,305.2310073313856,305.26787996757133,42070000,303.1567644391741,303.9119768995654,0.007465077349054328,3.7380104491921338,54.71800323549803,303.34681701660156,3.243454596782667,309.8337262101669,296.8599078230362,3.28096148101298
2020-02-11,308.9820556640625,310.604086297444,308.4475007886824,309.81150730195765,54864500,303.4148210797991,304.5879874014983,0.001733218853954277,4.016810365318206,55.3905979636814,303.6836669921875,3.4652609546848483,310.6141889015572,296.7531450828178,2.156585508761566
2020-02-12,310.9727478027344,311.1847022081107,310.06032571345446,310.42896775051224,43992700,303.790049961635,305.43928878832975,0.006442743525650663,4.468619721177992,57.47243693203671,304.1430938720703,3.793720143485139,311.7305341590406,296.55565358510006,1.1243764946562465
2020-02-13,310.6409606933594,311.61787478081925,309.25853191386875,309.53500641953264,54501900,304.3357827322824,306.1328450423337,-0.001066933072815357,4.817705140445101,61.65971493879437,304.5518310546875,4.036171803018935,312.6241746607254,296.47948744864965,2.3593428669504988
2020-02-14,311.138671875,311.25848688046284,309.84841051922353,311.0557295155845,64582200,305.2639835902623,306.80028862002257,0.0016022071929269188,4.784681268039012,72.87468009807102,304.8596527099609,4.2970559775407144,313.45376466504234,296.2655407548795,1.4100763612393052
2020-02-18,310.3368835449219,311.20320795519984,308.9360041790649,310.1341261696315,57226200,305.9117540631975,307.27183461000914,-0.002576948488101305,4.815871072081972,67.38520473830283,305.07992095947264,4.4645381125142,314.008997184501,296.15084473444426,2.26720377613492
2020-02-19,311.8207092285156,312.5026985948409,311.02813003257995,311.31382980093747,48814700,306.68328639439176,307.87835122581004,0.00478133848173079,4.836953380628802,69.77064527661096,305.4043365478516,4.712689941604786,314.8297164310612,295.978956664642,1.4745685622609699
